periodid,periodname,periodcode,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Total Positive (Add HV02-10 - HV02-14) HV02-15,MOH 731 15-24 (F) HV01-47,MOH 731 15-24 (M) HV01-46,MOH 731 25+ (F) HV01-49,MOH 731 25+ (M) HV01-48,MOH 731 Known Exposure_at Penta 1 HV02-37,MOH 731 Known Positive at 1st ANC HV02-03,MOH 731 Mother-baby pairs_24mths HV02-51,MOH 731 On ART_10-14 (F) HV03-031,MOH 731 On ART_10-14(M) HV03-030,MOH 731 On ART_15-19 (F) HV03-033,MOH 731 On ART_15-19(M) HV03-032,MOH 731 On ART_20-24 (F) HV03-035,MOH 731 On ART_20-24(M) HV03-034,MOH 731 On ART_25+ (F) HV03-037,MOH 731 On ART_25+(M) HV03-036,MOH 731 Presumed TB_Total HV03-058,MOH 731 Screen for TB _1-9 HV03-052,MOH 731 Screen for TB _10-14 HV03-053,MOH 731 Screen for TB _15-19 HV03-054,MOH 731 Screen for TB _20-24 HV03-055,MOH 731 Screen for TB _25+ HV03-056,MOH 731 Screen for TB_Total HV03-057,MOH 731 Screen for TB_<1 HV03-051,MOH 731 Screen CaCx_New F18+ HV03-087,MOH 731 Start ART_10-14 (F) HV03-019,MOH 731 Start ART_10-14(M) HV03-018,MOH 731 Start ART_15-19 (F) HV03-021,MOH 731 Start ART_15-19(M) HV03-020,MOH 731 Start ART_20-24 (F) HV03-023,MOH 731 Start ART_20-24(M) HV03-022,MOH 731 Start ART_25+ (F) HV03-025,MOH 731 Start ART_25+(M) HV03-024
2020,2020,2020,mYlMs4xTj82,Ainabkoi Sub County,KE_SubCounty_3229,,338.0,382.0,338.0,1022.0,1137.0,468.0,246.0,306.0,2731.0,2679.0,4644.0,4138.0,4178.0,3076.0,114242.0,62493.0,267.0,2819.0,4810.0,8392.0,6136.0,115120.0,137129.0,33.0,184.0,6.0,5.0,28.0,9.0,91.0,23.0,524.0,345.0
2020,2020,2020,GshNTMZJ5r1,Ainamoi Sub County,KE_SubCounty_3026,,256.0,50.0,27.0,79.0,131.0,92.0,165.0,214.0,1194.0,1315.0,1830.0,1512.0,2613.0,1594.0,45130.0,23636.0,653.0,361.0,1189.0,1607.0,2781.0,21125.0,27170.0,7.0,11.0,3.0,2.0,9.0,3.0,45.0,16.0,233.0,178.0
2020,2020,2020,Sq2fLWnOCGg,Aldai Sub County,KE_SubCounty_3171,,83.0,28.0,8.0,42.0,30.0,13.0,43.0,19.0,173.0,271.0,255.0,189.0,370.0,116.0,7831.0,3128.0,178.0,579.0,431.0,393.0,441.0,10267.0,12122.0,9.0,0.0,0.0,0.0,2.0,1.0,11.0,2.0,55.0,34.0
2020,2020,2020,Cu46otDi1RO,Alego Usonga Sub County,KE_SubCounty_3203,,1350.0,881.0,413.0,1122.0,1259.0,830.0,1160.0,985.0,4685.0,4050.0,3760.0,2802.0,8833.0,1963.0,145576.0,78247.0,2941.0,8579.0,8728.0,6492.0,10529.0,222164.0,256696.0,128.0,13583.0,15.0,8.0,54.0,13.0,196.0,30.0,718.0,524.0
2020,2020,2020,FKt9UVErwh3,Aroo Sub County,UNKNOWN,,26.0,246.0,339.0,261.0,360.0,175.0,22.0,22.0,191.0,152.0,112.0,84.0,164.0,61.0,3430.0,2112.0,28.0,354.0,338.0,184.0,205.0,5428.0,6493.0,5.0,0.0,2.0,1.0,3.0,1.0,5.0,5.0,26.0,47.0
2020,2020,2020,BxfsSc6Svrc,Athi River Sub County,KE_SubCounty_3093,,258.0,35.0,19.0,178.0,100.0,114.0,152.0,160.0,366.0,270.0,241.0,324.0,1755.0,286.0,22287.0,12526.0,158.0,898.0,628.0,626.0,2771.0,33964.0,38924.0,37.0,4525.0,2.0,4.0,7.0,2.0,70.0,8.0,280.0,131.0
2020,2020,2020,ka9Uv3Ckcbd,Awendo Sub County,KE_SubCounty_3125,,589.0,287.0,255.0,408.0,517.0,2807.0,483.0,499.0,2113.0,2072.0,2192.0,1217.0,5919.0,1232.0,63754.0,32301.0,560.0,3940.0,4144.0,3360.0,6962.0,94071.0,112557.0,80.0,1179.0,8.0,2.0,33.0,3.0,117.0,14.0,350.0,253.0
2020,2020,2020,FGBNPr91pXH,Balambala Sub County,KE_SubCounty_2993,,0.0,26.0,30.0,10.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2020,2020,hCvlJNjyZna,Banissa Sub County,KE_SubCounty_3104,,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2020,2020,k7Rj54u6dMx,Baringo Central Sub County,KE_SubCounty_2956,,40.0,131.0,50.0,119.0,128.0,26.0,28.0,36.0,179.0,287.0,455.0,296.0,381.0,170.0,8766.0,4128.0,94.0,365.0,457.0,731.0,531.0,12638.0,14748.0,2.0,1089.0,1.0,1.0,3.0,0.0,10.0,3.0,47.0,46.0
