organisationunitid,organisationunitname,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26,burden_category,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Net cohort_HEI_24 months HV02-50,transmission_rate
SlmxDUIybki,Abidha Health Centre,4.0,Low/Moderate,,10.0,10.0,
tpmeDcmWQWf,Aboloi Dispensary,1.0,Low/Moderate,,1.0,1.0,
VsK11IQUWdd,Acef Ena Health Centre,4.0,Low/Moderate,,4.0,4.0,
E0sp9SbtPJo,Adiedo Health Centre,6.0,High,,4.0,4.0,
cQB8Va1pD81,Administration Police Dispensary (Kisumu),18.0,Very High,,1.0,1.0,
pkKPZUYXl5l,Adu Dispensary,1.0,Low/Moderate,,2.0,2.0,
qIuHbZDmYPX,Agawo Health Centre,1.0,Low/Moderate,,5.0,5.0,
orKDpItM56v,Agenga Dispensary,8.0,High,,5.0,7.0,
iPKeTl8lSAZ,Ahero County Hospital,34.0,Severe,2.0,39.0,43.0,4.651162790697675
TYKsuf1A6HB,Ahero Medical Centre,2.0,Low/Moderate,1.0,5.0,6.0,16.666666666666664
Hz0YZaxawTo,Ahmadiya Hospital,3.0,Low/Moderate,,1.0,3.0,
AawtXdUefwb,AIC Litein Mission Hospital,11.0,High,,13.0,13.0,
Q4h7yLoLe0G,Ainamoi Health Centre,7.0,High,,1.0,2.0,
oEWhqoUHkvt,Airport Health Centre (Kisumu),9.0,High,,12.0,12.0,
KuftRocWEh1,Ajam Mission Health Centre,5.0,Low/Moderate,,4.0,4.0,
ngzYEraCr33,Akala Health Centre,14.0,Very High,,10.0,10.0,
p88Dp0k1GH3,Alum Beach Health Centre,1.0,Low/Moderate,,6.0,6.0,
wmUX4Xf6mHU,Alupe Sub County Referral Hospital,22.0,Severe,,6.0,6.0,
cjPwf2Grgo9,Alwalidayn Dispensary,10.0,High,,5.0,5.0,
cPDS7MOxcm9,Amaase Dispensary,4.0,Low/Moderate,1.0,5.0,6.0,16.666666666666664
QRZj3gcahYE,Ambira Sub-County Hospital,29.0,Severe,,20.0,25.0,
dzlUVt1ajq1,Amoyo Health Center,1.0,Low/Moderate,,7.0,7.0,
L9EJeHLBG1b,Amukura Health Centre,14.0,Very High,1.0,6.0,7.0,14.285714285714285
ps5w3QhjIM7,Amurt Health Centre,12.0,Very High,1.0,1.0,2.0,50.0
c5gNJhUz9rg,Andersen Medical Centre,4.0,Low/Moderate,,2.0,3.0,
lfs5qignpT4,Anding'o Opanga Dispensary,2.0,Low/Moderate,,6.0,6.0,
m7VVNB6yflG,Ang'iya Health Centre,1.0,Low/Moderate,,5.0,5.0,
dWATcMI6XJL,Angaga Dispensary,3.0,Low/Moderate,,2.0,2.0,
VRRLwQpnKfY,Angata Health Centre,5.0,Low/Moderate,,1.0,1.0,
allzILkIelH,Angurai Sub County Hospital,4.0,Low/Moderate,,,2.0,
xaQ9Z2jrxRM,Anjego Dispensary,1.0,Low/Moderate,,7.0,9.0,
ETYKLHaZtuG,Annex Hospital (Nakuru),4.0,Low/Moderate,,1.0,1.0,
Tkgo1tPTOv2,Anyuongi Dispensary,4.0,Low/Moderate,,8.0,8.0,
tmOunpxPDt9,AP Line Dispensary,17.0,Very High,1.0,10.0,11.0,9.090909090909092
wP6cPKxmPwl,Approved Dispensary,10.0,High,,2.0,6.0,
yjdx3bVwjJP,Approved School Dispensary (Machakos),3.0,Low/Moderate,,1.0,1.0,
eGSDTRaBYvN,Aptc Health Centre,11.0,High,1.0,1.0,2.0,50.0
Ssbkr9jzWWk,Archers Post Catholic Health Centre,1.0,Low/Moderate,,2.0,2.0,
kOFBpSMhe9h,Arito Langi Health Centre,4.0,Low/Moderate,,3.0,3.0,
QiXeOXMmlX0,Arombe Dispensary,19.0,Severe,,15.0,15.0,
GiQGODA5NZB,Asat Beach Dispensary,4.0,Low/Moderate,,3.0,3.0,
GqpnFjeQXTM,Ashburn Ohuru Nursing Home,1.0,Low/Moderate,,2.0,2.0,
FPGtNGfdSlZ,Asumbi Mission Hospital,15.0,Very High,,16.0,16.0,
mubdg2NphtL,Atela Health Centre,5.0,Low/Moderate,,5.0,5.0,
bxtsV3tmxZi,Atemo Health Centre,3.0,Low/Moderate,,2.0,2.0,
u8TCfCqeQpJ,Athi Kamunyuni Health Centre,4.0,Low/Moderate,,1.0,1.0,
ISsRMwepdm7,Awasi Mission Health Center,10.0,High,,10.0,10.0,
ZBtoRProc6e,Awendo Sub County Hospital,18.0,Very High,,23.0,23.0,
CzGqegvtcf5,Babadogo (EDARP),23.0,Severe,,18.0,18.0,
obSn4iRC7wn,Babadogo Health Centre,20.0,Severe,,13.0,13.0,
X7szCNmxLXn,Bahai Dispensary,1.0,Low/Moderate,,,1.0,
cQa0PvCvbxM,Bahati District Hospital,19.0,Severe,,9.0,16.0,
emnI9dqORPt,Bahati Hospital,20.0,Severe,1.0,17.0,24.0,4.166666666666666
hHFDDKwv5UN,Bahati Rural Health Centre,2.0,Low/Moderate,,,2.0,
kZP86ulsOJr,Bama Hospital,10.0,High,,5.0,6.0,
IKdUHYliWr5,Bamboo Health Centre,18.0,Very High,,4.0,4.0,
dO93Ue6OwRr,Bamburi Dispensary,21.0,Severe,,7.0,10.0,
hLMDMOsAv6Y,Bande Dispensary,2.0,Low/Moderate,,5.0,5.0,
oYc9S0YvbLH,Banja Health Centre,6.0,High,,1.0,1.0,
RrxywQuOoio,Baolala Dispensary,2.0,Low/Moderate,,1.0,2.0,
DqwooToZ1N9,Bar Achuth Dispensary,5.0,Low/Moderate,,8.0,8.0,
gFFdF6hGiFe,Bar Agulu Dispensary,2.0,Low/Moderate,,11.0,11.0,
yonouRgu7l7,Bar Aluru Dispensary (Rarieda),7.0,High,,8.0,8.0,
lq9mb305HDu,Bar Korwa Health Centre,6.0,High,,7.0,7.0,
bhfD7RGs2gk,Bar Ndege Dispensary,4.0,Low/Moderate,,9.0,9.0,
sK3DDy5tVCy,Bar Olengo Dispensary,5.0,Low/Moderate,,9.0,9.0,
ZL7FkyG3uwc,Bar Sauri Health Centre,5.0,Low/Moderate,,2.0,2.0,
tBD7EcDrqR8,Baraka Dispensary (Nairobi),59.0,Critical,,13.0,17.0,
jetCZf5Uzd1,Barding Dispensary,2.0,Low/Moderate,,1.0,1.0,
yQujnfNnzQJ,Baricho Subcounty Hospital,2.0,Low/Moderate,,1.0,1.0,
NcCkDlIqJuM,Baringo County Referral Hospital,8.0,High,1.0,9.0,11.0,9.090909090909092
vG1iOKniT2c,Beacon of Hope Clinic (Ongata Rongai),28.0,Severe,,4.0,4.0,
YjzBFHmaVTv,Benga Dispensary,1.0,Low/Moderate,,2.0,2.0,
m1CfptepCVX,Bennedict XVI Hospital,5.0,Low/Moderate,,1.0,1.0,
PaKMtCzMDnk,Biafra Lions Dispensary,7.0,High,,3.0,3.0,
dzY2ptkmDAC,Bishop Kioko Catholic Hospital,12.0,Very High,,4.0,4.0,
aZCS6UZRpdL,Bitare Dispensary,5.0,Low/Moderate,,2.0,2.0,
Jzb6ev63ccp,Blue House (AHF) Dispensary,17.0,Very High,,5.0,12.0,
gYaEWAxDwbL,Bodi Health Centre,2.0,Low/Moderate,,11.0,11.0,
a6KR1c7QXeL,Bokole CDF Dispensary,10.0,High,,2.0,5.0,
L7s7lF6nv95,Bokoli  Sub-County Hospital,8.0,High,,1.0,5.0,
J92hsLeBV21,Bomet Health Centre,15.0,Very High,,1.0,1.0,
OtnHULC4QwB,Bomu Medical Centre (Likoni),17.0,Very High,,20.0,21.0,
w5udNAfZvrb,Bomu Medical Centre (Mariakani),7.0,High,,8.0,9.0,
BsbMOs77eO2,Bomu Medical Hospital (Changamwe),31.0,Severe,,36.0,38.0,
vPGUu3uwSan,Bondeni Dispensary (Nakuru Central),15.0,Very High,,3.0,3.0,
kF4aaglTa6T,Bondeni Health Centre (Trans Nzoia - Saboti),5.0,Low/Moderate,,1.0,3.0,
BxIp7V5DU9D,Bondeni Sub County Hospital,9.0,High,2.0,11.0,16.0,12.5
Z6fKUbscAbZ,Bondo County Referral Hospital,35.0,Severe,16.0,30.0,49.0,32.6530612244898
xHviPII2Tc3,Boro Dispensary,7.0,High,,6.0,6.0,
mZ5dBUXvXqh,Bosiango Health Centre,1.0,Low/Moderate,,1.0,1.0,
X43Tf1LIRXh,Brother Andre Medial Centre,2.0,Low/Moderate,,3.0,4.0,
WYaAkILOP16,Buchangu Dispensary,1.0,Low/Moderate,,1.0,1.0,
Y1wbtycY0V8,Budalangi Dispensary,4.0,Low/Moderate,,4.0,4.0,
gkvsBoZvbH1,Bugina Health Centre,5.0,Low/Moderate,2.0,,2.0,100.0
OQUMus9IsA1,Bugumbe Health Centre,11.0,High,1.0,4.0,5.0,20.0
ndBnE6yUjoy,Bukaya Health Centre,3.0,Low/Moderate,,5.0,6.0,
lSB8vsporuH,Bukembe Dispensary,9.0,High,,5.0,5.0,
wcM6pww7h2a,Bukura Health Centre,10.0,High,,6.0,7.0,
VIFQ1jyMX4e,Bulondo Dispensary,1.0,Low/Moderate,,2.0,2.0,
aMTxgqDmizK,Bumala A Health Centre,14.0,Very High,,21.0,25.0,
nuEpF1eboYN,Bumala B Sub County Hospital,6.0,High,,8.0,10.0,
Gci6fQrejup,Bumula Sub County Hospital,13.0,Very High,1.0,3.0,5.0,20.0
mSjyGBo4Rqu,Bumutiru Dispensary,2.0,Low/Moderate,,2.0,2.0,
OaksTvWzoaf,Bunde Health Centre,3.0,Low/Moderate,,9.0,9.0,
wXYxrsjOc8d,Bungasi Health Centre,6.0,High,,3.0,5.0,
WDJtmgLjGD8,Bungoma County Referral Hospital,70.0,Critical,,25.0,38.0,
SWfFxTZ0VGG,Bura Subcounty Hospital,2.0,Low/Moderate,,4.0,4.0,
d23vOh36Pqw,Burumba Dispensary,2.0,Low/Moderate,,2.0,2.0,
vxKshylcIW5,Busagwa Dispensary,1.0,Low/Moderate,,2.0,2.0,
ih3vU3AXadk,Busembe Dispensary,2.0,Low/Moderate,,1.0,1.0,
dI28kasf8Jj,Bushiri Health Centre,10.0,High,,1.0,3.0,
XsRFIn0FhzA,Busia County Referral Hospital,68.0,Critical,,32.0,36.0,
OVV0fHS7fux,Butere Sub County Hospital,19.0,Severe,,10.0,17.0,
Tns72Eh3EfT,Butingo Dispensary,2.0,Low/Moderate,,1.0,1.0,
yFrzItHccVH,Butula Mission Health Centre,5.0,Low/Moderate,,6.0,6.0,
wd25QXppWr2,Bware Health Center,2.0,Low/Moderate,,2.0,,
Ch9QLIX4Lv4,Cana Family Life Clinic,3.0,Low/Moderate,,2.0,2.0,
HOvK1bxRsNF,Catholic Hospital Wamba,2.0,Low/Moderate,1.0,1.0,2.0,50.0
tvYS6hl4l6l,Cdc Ganjoni Dispensary,16.0,Very High,,3.0,5.0,
ZeHU0vtmrVW,Chaani Catholic Dispensary,1.0,Low/Moderate,,3.0,3.0,
RUBAdXhzucO,Chamuka Dispensary,5.0,Low/Moderate,,4.0,4.0,
CckiDj0RzXx,Chandaria Health Centre,16.0,Very High,,2.0,2.0,
oGBXTwGNwBb,Chasimba Health Centre,2.0,Low/Moderate,,2.0,2.0,
Va4NxnOtD4e,Chebangang Health Centre,11.0,High,,2.0,2.0,
E30aVzHdBRU,Chebunyo Dispensary,10.0,High,,,1.0,
JTL8OVhlUqF,Chebwai Mission Dispensary,1.0,Low/Moderate,,1.0,1.0,
Ci1bld843vy,Chekalini Health Centre,3.0,Low/Moderate,,4.0,4.0,
vVYa9Lb6bZ5,Chemelil Health Centre (Muhoroni),3.0,Low/Moderate,,5.0,11.0,
PeEVPAKDbaC,Chemelil Sugar Health Centre,1.0,Low/Moderate,,1.0,2.0,
hqPkw34FUAM,Chemosot Health Centre,12.0,Very High,,3.0,3.0,
w2kedceJwpf,Chepareria Sub County Hospital,7.0,High,,5.0,5.0,
ZXeCbiargkA,Chepchoina Dispensary,10.0,High,,3.0,5.0,
qCpPJL5V2m1,Cheptais Sub County Hospital,6.0,High,,2.0,2.0,
ULWedqfO8cB,Cheptalal Sub County Hospital,6.0,High,,1.0,2.0,
wZn5GUHSpIZ,Chepterwai Sub-County Hospital,3.0,Low/Moderate,1.0,1.0,3.0,33.33333333333333
xmCIA3BSudt,Cherangany Sub County Hospital,5.0,Low/Moderate,,6.0,7.0,
TFTsjlwBeca,Chianda Dispensary (Rarieda),6.0,High,,1.0,1.0,
cMV2EgW6Tza,Chief Milimu Dispensary,8.0,High,,2.0,3.0,
qNO02IGD3yn,Chiga Sub County Hospital,9.0,High,,3.0,3.0,
kUsA28Yefik,Child Doctor Kenya,5.0,Low/Moderate,,4.0,4.0,
kVVmxGZKCfA,Chinato Health Centre,2.0,Low/Moderate,,2.0,2.0,
Q1cLTOTQ8i7,Christamarianne Mission Hospital,15.0,Very High,,20.0,20.0,
sD0C4mSXA4H,Chuka County Refferal Hospital,19.0,Severe,1.0,7.0,10.0,10.0
aRWvqnCMOEN,Chulaimbo County Hospital,26.0,Severe,,45.0,47.0,
S2nFt5STJyM,Chuowe Health centre,2.0,Low/Moderate,,2.0,2.0,
PjJrujKwMvY,Chuthber Health Centre,2.0,Low/Moderate,,2.0,2.0,
fUo2NrKCikw,Chwele Friends Dispensary,9.0,High,,,1.0,
qZCaWe683G3,Chwele Sub County Hospital,11.0,High,,3.0,12.0,
ZLKeFpFXbAQ,Cmf Aitong Health Centre,4.0,Low/Moderate,,1.0,1.0,
WQBUBXxXVe5,Coast General Teaching and Referral Hospital,82.0,Critical,,14.0,16.0,
kJ5MjZkaoSP,Coast General Teaching and Referral Hospital (Chaani Outreach Centre),15.0,Very High,,4.0,5.0,
wi1we3OlD7A,Coast General Teaching and Referral Hospital Vikwatani Outreach Centre,6.0,High,,15.0,15.0,
amP1kWytNm2,Consolata Kyeni Hospital,10.0,High,,10.0,10.0,
Aqw6Dbpsjk6,Consolata Mission Hospital (Mathari),11.0,High,1.0,10.0,13.0,7.6923076923076925
