organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Positive Results _L&D HV02-12,MOH 731 Positive Results_ANC HV02-11,MOH 731 Positive Results_PNC<=6wks HV02-13,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26,burden_category
VeDu9Olup41,AAR Health care-Kisumu,20956,,0.0,0.0,0.0,1.0,Low/Moderate
SlmxDUIybki,Abidha Health Centre,13461,,0.0,0.0,0.0,4.0,Low/Moderate
tpmeDcmWQWf,Aboloi Dispensary,15789,found in Aboloi location of A ngurai DIV along Awata -Malakisi road,0.0,1.0,0.0,1.0,Low/Moderate
HXts3S1sk3V,Ace Africa (k) Wellness Centre,20823,,0.0,0.0,0.0,4.0,Low/Moderate
VsK11IQUWdd,Acef Ena Health Centre,12791,,0.0,1.0,0.0,4.0,Low/Moderate
r9Nw0PyLOZD,ACK MT Kenya Hospital (Mwea),10093,,0.0,0.0,0.0,1.0,Low/Moderate
E0sp9SbtPJo,Adiedo Health Centre,13463,,0.0,1.0,0.0,6.0,High
cQB8Va1pD81,Administration Police Dispensary (Kisumu),13464,,0.0,0.0,0.0,18.0,Very High
byIrGBL0UNN,Administration Police Senior Staff College Dispensary,18171,,0.0,0.0,0.0,2.0,Low/Moderate
pkKPZUYXl5l,Adu Dispensary,11198,,0.0,0.0,0.0,1.0,Low/Moderate
ZjnMNXqHnuD,Adventist Centre for Care and Support,18535,,0.0,0.0,0.0,1.0,Low/Moderate
fUh3CKfP6Ee,Afraha Maternity and Nursing Home,18382,,0.0,0.0,0.0,1.0,Low/Moderate
Dp01W92uqkK,Africa Inuka Hospital,25539,,0.0,0.0,0.0,2.0,Low/Moderate
FTVmVryLXiE,Africare Ltd NHIF clinic,22866,NHIF building,0.0,0.0,0.0,3.0,Low/Moderate
BNcX5e9pXoY,Afya Bora Clinic (Mutomo),17819,,0.0,0.0,0.0,1.0,Low/Moderate
qsxmVDGFRfZ,Afya International Hospital,21925,New Facility,0.0,0.0,0.0,1.0,Low/Moderate
qG23wKJUT5W,Afya Link Medical Centre,22887,,0.0,0.0,0.0,1.0,Low/Moderate
zyB0ZAySK90,Afyastar Medical Clinic,18552,,0.0,0.0,0.0,1.0,Low/Moderate
hmIgXXyNHOj,Aga Khan Hospital (Kisumu),13465,,0.0,0.0,0.0,6.0,High
ckvRzmsUore,Aga Khan Hospital (Mombasa),11203,,0.0,0.0,0.0,6.0,High
