organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Unknown_Outcome HV02-49,MOH 731 Net cohort_HEI_24 months HV02-50,transmission_rate
SlmxDUIybki,Abidha Health Centre,13461.0,,,10.0,,10.0,
tpmeDcmWQWf,Aboloi Dispensary,15789.0,found in Aboloi location of A ngurai DIV along Awata -Malakisi road,,1.0,,1.0,
VsK11IQUWdd,Acef Ena Health Centre,12791.0,,,4.0,,4.0,
E0sp9SbtPJo,Adiedo Health Centre,13463.0,,,4.0,,4.0,
cQB8Va1pD81,Administration Police Dispensary (Kisumu),13464.0,,,1.0,,1.0,
pkKPZUYXl5l,Adu Dispensary,11198.0,,,2.0,,2.0,
qIuHbZDmYPX,Agawo Health Centre,13466.0,,,5.0,,5.0,
orKDpItM56v,Agenga Dispensary,13467.0,,,5.0,2.0,7.0,
iPKeTl8lSAZ,Ahero County Hospital,13468.0,County hospital,2.0,39.0,2.0,43.0,4.651162790697675
TYKsuf1A6HB,Ahero Medical Centre,18291.0,Medical clinic,1.0,5.0,,6.0,16.666666666666664
Hz0YZaxawTo,Ahmadiya Hospital,15791.0,,,1.0,2.0,3.0,
AawtXdUefwb,AIC Litein Mission Hospital,14178.0,mission hospital,,13.0,,13.0,
Q4h7yLoLe0G,Ainamoi Health Centre,14192.0,,,1.0,1.0,2.0,
oEWhqoUHkvt,Airport Health Centre (Kisumu),13469.0,,,12.0,,12.0,
KuftRocWEh1,Ajam Mission Health Centre,18398.0,,,4.0,,4.0,
ngzYEraCr33,Akala Health Centre,13471.0,,,10.0,,10.0,
p88Dp0k1GH3,Alum Beach Health Centre,13472.0,,,6.0,,6.0,
wmUX4Xf6mHU,Alupe Sub County Referral Hospital,15795.0,"Situated along Busia-Malaba road,6 kms from Busia town",,6.0,1.0,6.0,
cjPwf2Grgo9,Alwalidayn Dispensary,22059.0,,,5.0,,5.0,
cPDS7MOxcm9,Amaase Dispensary,15797.0,,1.0,5.0,,6.0,16.666666666666664
QRZj3gcahYE,Ambira Sub-County Hospital,13476.0,,,20.0,5.0,25.0,
dzlUVt1ajq1,Amoyo Health Center,16768.0,,,7.0,,7.0,
L9EJeHLBG1b,Amukura Health Centre,15798.0,Situated at Amukura market along Nambale-Malaba road about 0.5KM from Amukura junction,1.0,6.0,,7.0,14.285714285714285
ps5w3QhjIM7,Amurt Health Centre,12870.0,,1.0,1.0,,2.0,50.0
c5gNJhUz9rg,Andersen Medical Centre,14203.0,,,2.0,1.0,3.0,
lfs5qignpT4,Anding'o Opanga Dispensary,13477.0,,,6.0,,6.0,
m7VVNB6yflG,Ang'iya Health Centre,13479.0,,,5.0,,5.0,
dWATcMI6XJL,Angaga Dispensary,17050.0,,,2.0,,2.0,
VRRLwQpnKfY,Angata Health Centre,14205.0,,,1.0,,1.0,
allzILkIelH,Angurai Sub County Hospital,15800.0,,,,2.0,2.0,
xaQ9Z2jrxRM,Anjego Dispensary,13480.0,located in suba East division and its a GOK facility,,7.0,2.0,9.0,
ETYKLHaZtuG,Annex Hospital (Nakuru),14207.0,,,1.0,,1.0,
Tkgo1tPTOv2,Anyuongi Dispensary,13482.0,level 2 gok facility,,8.0,,8.0,
tmOunpxPDt9,AP Line Dispensary,15801.0,,1.0,10.0,,11.0,9.090909090909092
wP6cPKxmPwl,Approved Dispensary,15804.0,,,2.0,4.0,6.0,
yjdx3bVwjJP,Approved School Dispensary (Machakos),11932.0,,,1.0,,1.0,
eGSDTRaBYvN,Aptc Health Centre,12871.0,,1.0,1.0,,2.0,50.0
Ssbkr9jzWWk,Archers Post Catholic Health Centre,14212.0,,,2.0,,2.0,
kOFBpSMhe9h,Arito Langi Health Centre,13484.0,,,3.0,,3.0,
QiXeOXMmlX0,Arombe Dispensary,13486.0,Alocated in Suba West Division and its a GOK  facility.,,15.0,,15.0,
c93Xc1VYJfv,Arroket Dispensary,14215.0,,1.0,1.0,,2.0,50.0
GiQGODA5NZB,Asat Beach Dispensary,13487.0,,,3.0,,3.0,
GqpnFjeQXTM,Ashburn Ohuru Nursing Home,17524.0,,,2.0,,2.0,
FPGtNGfdSlZ,Asumbi Mission Hospital,13488.0,,,16.0,,16.0,
mubdg2NphtL,Atela Health Centre,18610.0,,,5.0,,5.0,
bxtsV3tmxZi,Atemo Health Centre,13489.0,,,2.0,,2.0,
u8TCfCqeQpJ,Athi Kamunyuni Health Centre,11934.0,"At Athi Kamunyuni Shopping Centre, 25 km east of Kambu Town, through Daranjani Railway Station",,1.0,,1.0,
ISsRMwepdm7,Awasi Mission Health Center,13491.0,Health center,,10.0,,10.0,
ZBtoRProc6e,Awendo Sub County Hospital,13492.0,,,23.0,,23.0,
CzGqegvtcf5,Babadogo (EDARP),12875.0,,,18.0,,18.0,
obSn4iRC7wn,Babadogo Health Centre,12876.0,,,13.0,1.0,13.0,
X7szCNmxLXn,Bahai Dispensary,17190.0,,,,1.0,1.0,
cQa0PvCvbxM,Bahati District Hospital,14224.0,,,9.0,7.0,16.0,
emnI9dqORPt,Bahati Hospital,12879.0,,1.0,17.0,6.0,24.0,4.166666666666666
hHFDDKwv5UN,Bahati Rural Health Centre,14223.0,,,,2.0,2.0,
kZP86ulsOJr,Bama Hospital,13493.0,,,5.0,1.0,6.0,
