organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,periodid,periodname,periodcode,perioddescription,MOH 731 1st ANC Visits HV02-01,MOH 731 Known Positive at 1st ANC HV02-03,MOH 731 Initial test at ANC HV02-04,MOH 731 Total Given Penta 1 HV02-38,MOH 731 Known Exposure_at Penta 1 HV02-37,MOH 731 Positive Results_ANC HV02-11,MOH 731 Retesting_PNC<= 6 weeks HV02-08,MOH 731 Syphilis Screened_1st ANC HV02-24,MOH 731 TB cases _New HV03-076,MOH 731 TB Cases Tested_HIV HV03-078,MOH 731 TB Cases_Total HIV+ (HV03-077+080) HV03-081,MOH 731 TB_Total on HAART(HV03-082+083) HV03-084
vvOK1BxTbet,Baringo County,KE_County_30,,2020,2020,2020,,14994,127,13780,1346,312,80,642,10276,322,359,82,68
vvOK1BxTbet,Baringo County,KE_County_30,,2021,2021,2021,,17117,127,15560,2139,431,69,569,12012,523,423,113,121
vvOK1BxTbet,Baringo County,KE_County_30,,2022,2022,2022,,17410,125,14751,439,152,47,387,13288,797,587,154,149
vvOK1BxTbet,Baringo County,KE_County_30,,2023,2023,2023,,18667,147,17624,713,253,52,868,16018,887,664,155,132
vvOK1BxTbet,Baringo County,KE_County_30,,2024,2024,2024,,9608,69,9367,348,36,40,1211,8316,444,329,95,90
HMNARUV2CW4,Bomet County,KE_County_36,,2020,2020,2020,,24463,352,23814,2089,309,182,5890,20408,1374,1136,461,436
HMNARUV2CW4,Bomet County,KE_County_36,,2021,2021,2021,,27129,288,23141,3353,340,191,2722,22061,1257,1057,342,323
HMNARUV2CW4,Bomet County,KE_County_36,,2022,2022,2022,,24433,290,19212,3103,395,121,969,18256,1576,1114,368,320
HMNARUV2CW4,Bomet County,KE_County_36,,2023,2023,2023,,26052,372,25798,13451,7325,212,6844,23570,1674,1336,501,424
HMNARUV2CW4,Bomet County,KE_County_36,,2024,2024,2024,,19915,221,19685,18212,15953,152,15285,19834,1239,960,344,300
