organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Unknown_Outcome HV02-49,MOH 731 Net cohort_HEI_24 months HV02-50
SlmxDUIybki,Abidha Health Centre,13461,,,10,,10
tpmeDcmWQWf,Aboloi Dispensary,15789,found in Aboloi location of A ngurai DIV along Awata -Malakisi road,,1,,1
VsK11IQUWdd,Acef Ena Health Centre,12791,,,4,,4
E0sp9SbtPJo,Adiedo Health Centre,13463,,,4,,4
cQB8Va1pD81,Administration Police Dispensary (Kisumu),13464,,,1,,1
pkKPZUYXl5l,Adu Dispensary,11198,,,2,,2
qIuHbZDmYPX,Agawo Health Centre,13466,,,5,,5
orKDpItM56v,Agenga Dispensary,13467,,,5,2,7
iPKeTl8lSAZ,Ahero County Hospital,13468,County hospital,2,39,2,43
TYKsuf1A6HB,Ahero Medical Centre,18291,Medical clinic,1,5,,6
Hz0YZaxawTo,Ahmadiya Hospital,15791,,,1,2,3
AawtXdUefwb,AIC Litein Mission Hospital,14178,mission hospital,,13,,13
Q4h7yLoLe0G,Ainamoi Health Centre,14192,,,1,1,2
oEWhqoUHkvt,Airport Health Centre (Kisumu),13469,,,12,,12
KuftRocWEh1,Ajam Mission Health Centre,18398,,,4,,4
ngzYEraCr33,Akala Health Centre,13471,,,10,,10
p88Dp0k1GH3,Alum Beach Health Centre,13472,,,6,,6
wmUX4Xf6mHU,Alupe Sub County Referral Hospital,15795,"Situated along Busia-Malaba road,6 kms from Busia town",,6,1,6
cjPwf2Grgo9,Alwalidayn Dispensary,22059,,,5,,5
cPDS7MOxcm9,Amaase Dispensary,15797,,1,5,,6
QRZj3gcahYE,Ambira Sub-County Hospital,13476,,,20,5,25
dzlUVt1ajq1,Amoyo Health Center,16768,,,7,,7
L9EJeHLBG1b,Amukura Health Centre,15798,Situated at Amukura market along Nambale-Malaba road about 0.5KM from Amukura junction,1,6,,7
ps5w3QhjIM7,Amurt Health Centre,12870,,1,1,,2
c5gNJhUz9rg,Andersen Medical Centre,14203,,,2,1,3
lfs5qignpT4,Anding'o Opanga Dispensary,13477,,,6,,6
m7VVNB6yflG,Ang'iya Health Centre,13479,,,5,,5
dWATcMI6XJL,Angaga Dispensary,17050,,,2,,2
VRRLwQpnKfY,Angata Health Centre,14205,,,1,,1
allzILkIelH,Angurai Sub County Hospital,15800,,,,2,2
xaQ9Z2jrxRM,Anjego Dispensary,13480,located in suba East division and its a GOK facility,,7,2,9
ETYKLHaZtuG,Annex Hospital (Nakuru),14207,,,1,,1
Tkgo1tPTOv2,Anyuongi Dispensary,13482,level 2 gok facility,,8,,8
tmOunpxPDt9,AP Line Dispensary,15801,,1,10,,11
wP6cPKxmPwl,Approved Dispensary,15804,,,2,4,6
yjdx3bVwjJP,Approved School Dispensary (Machakos),11932,,,1,,1
eGSDTRaBYvN,Aptc Health Centre,12871,,1,1,,2
Ssbkr9jzWWk,Archers Post Catholic Health Centre,14212,,,2,,2
kOFBpSMhe9h,Arito Langi Health Centre,13484,,,3,,3
QiXeOXMmlX0,Arombe Dispensary,13486,Alocated in Suba West Division and its a GOK  facility.,,15,,15
c93Xc1VYJfv,Arroket Dispensary,14215,,1,1,,2
GiQGODA5NZB,Asat Beach Dispensary,13487,,,3,,3
GqpnFjeQXTM,Ashburn Ohuru Nursing Home,17524,,,2,,2
FPGtNGfdSlZ,Asumbi Mission Hospital,13488,,,16,,16
mubdg2NphtL,Atela Health Centre,18610,,,5,,5
bxtsV3tmxZi,Atemo Health Centre,13489,,,2,,2
u8TCfCqeQpJ,Athi Kamunyuni Health Centre,11934,"At Athi Kamunyuni Shopping Centre, 25 km east of Kambu Town, through Daranjani Railway Station",,1,,1
ISsRMwepdm7,Awasi Mission Health Center,13491,Health center,,10,,10
ZBtoRProc6e,Awendo Sub County Hospital,13492,,,23,,23
CzGqegvtcf5,Babadogo (EDARP),12875,,,18,,18
obSn4iRC7wn,Babadogo Health Centre,12876,,,13,1,13
X7szCNmxLXn,Bahai Dispensary,17190,,,,1,1
cQa0PvCvbxM,Bahati District Hospital,14224,,,9,7,16
emnI9dqORPt,Bahati Hospital,12879,,1,17,6,24
hHFDDKwv5UN,Bahati Rural Health Centre,14223,,,,2,2
kZP86ulsOJr,Bama Hospital,13493,,,5,1,6
IKdUHYliWr5,Bamboo Health Centre,10044,,,4,,4
dO93Ue6OwRr,Bamburi Dispensary,11239,,,7,3,10
hLMDMOsAv6Y,Bande Dispensary,13494,,,5,,5
oYc9S0YvbLH,Banja Health Centre,15805,,,1,,1
RrxywQuOoio,Baolala Dispensary,11244,,,1,1,2
DqwooToZ1N9,Bar Achuth Dispensary,13495,,,8,,8
gFFdF6hGiFe,Bar Agulu Dispensary,13496,,,11,,11
yonouRgu7l7,Bar Aluru Dispensary (Rarieda),13497,,,8,,8
lq9mb305HDu,Bar Korwa Health Centre,13498,,,7,,7
bhfD7RGs2gk,Bar Ndege Dispensary,16784,,,9,,9
sK3DDy5tVCy,Bar Olengo Dispensary,13499,,,9,,9
ZL7FkyG3uwc,Bar Sauri Health Centre,16785,,,2,,2
tBD7EcDrqR8,Baraka Dispensary (Nairobi),12881,,,13,4,17
jetCZf5Uzd1,Barding Dispensary,18396,,,1,,1
yQujnfNnzQJ,Baricho Subcounty Hospital,10049,,,1,,1
NcCkDlIqJuM,Baringo County Referral Hospital,14607,,1,9,1,11
vG1iOKniT2c,Beacon of Hope Clinic (Ongata Rongai),16667,,,4,,4
YjzBFHmaVTv,Benga Dispensary,16786,,,2,,2
m1CfptepCVX,Bennedict XVI Hospital,10056,,,1,,1
oyMHYuegTO3,Beta Care Nursing Home,10058,,,4,,4
PaKMtCzMDnk,Biafra Lions Dispensary,12883,,,3,,3
dzY2ptkmDAC,Bishop Kioko Catholic Hospital,11955,,,4,,4
aZCS6UZRpdL,Bitare Dispensary,13502,,,2,,2
Jzb6ev63ccp,Blue House (AHF) Dispensary,12885,,,5,7,12
gYaEWAxDwbL,Bodi Health Centre,13503,,,11,,11
a6KR1c7QXeL,Bokole CDF Dispensary,11254,,,2,3,5
L7s7lF6nv95,Bokoli  Sub-County Hospital,15808,,,1,4,5
J92hsLeBV21,Bomet Health Centre,14261,,,1,,1
OtnHULC4QwB,Bomu Medical Centre (Likoni),11259,,,20,1,21
